iter	Passed	Remaining
1370	14234	37678
1371	14248	37676
1372	14258	37665
1373	14269	37658
1374	14281	37650
1375	14295	37649
1376	14308	37648
1377	14322	37645
1378	14337	37648
1379	14351	37645
1380	14365	37646
1381	14381	37649
1382	14391	37639
1383	14403	37633
1384	14417	37631
1385	14429	37624
1386	14440	37616
1387	14452	37609
1388	14467	37611
1389	14480	37606
1390	14492	37600
1391	14502	37588
1392	14515	37586
1393	14529	37584
1394	14542	37579
1395	14553	37573
1396	14571	37581
1397	14584	37578
1398	14599	37578
1399	14612	37575
1400	14629	37580
1401	14645	37584
1402	14663	37594
1403	14679	37598
1404	14693	37596
1405	14705	37590
1406	14718	37585
1407	14742	37610
1408	14761	37622
1409	14775	37620
1410	14801	37649
1411	14813	37642
1412	14828	37642
1413	14840	37637
1414	14852	37628
1415	14862	37619
1416	14875	37613
1417	14885	37602
1418	14895	37591
1419	14907	37583
1420	14917	37573
1421	14927	37558
1422	14937	37549
1423	14946	37534
1424	14956	37522
1425	14968	37515
1426	14977	37502
1427	14988	37493
1428	15006	37501
1429	15017	37491
1430	15035	37498
1431	15067	37543
1432	15076	37528
1433	15087	37517
1434	15096	37504
1435	15105	37490
1436	15118	37486
1437	15134	37488
1438	15150	37491
1439	15159	37478
1440	15170	37469
1441	15185	37467
1442	15200	37469
1443	15218	37476
1444	15232	37475
1445	15242	37463
1446	15253	37454
1447	15268	37454
1448	15284	37455
1449	15301	37462
1450	15317	37464
1451	15333	37467
1452	15347	37464
1453	15357	37454
1454	15371	37450
1455	15387	37453
1456	15406	37464
1457	15424	37470
1458	15440	37474
1459	15456	37476
1460	15472	37478
1461	15485	37474
1462	15501	37478
1463	15517	37478
1464	15534	37484
1465	15553	37494
1466	15573	37506
1467	15588	37504
1468	15605	37511
1469	15616	37501
1470	15628	37494
1471	15642	37492
1472	15660	37497
1473	15679	37508
1474	15693	37505
1475	15712	37514
1476	15730	37521
1477	15768	37575
1478	15785	37578
1479	15824	37637
1480	15841	37639
1481	15866	37664
1482	15896	37698
1483	15940	37767
1484	16004	37882
1485	16045	37942
1486	16084	37999
1487	16108	38019
1488	16124	38021
1489	16140	38023
1490	16155	38020
1491	16169	38017
1492	16183	38014
1493	16198	38013
1494	16213	38012
1495	16233	38023
1496	16256	38040
1497	16274	38045
1498	16317	38111
1499	16360	38173
1500	16398	38227
1501	16437	38281
1502	16469	38320
1503	16487	38325
1504	16502	38322
1505	16540	38374
1506	16558	38381
1507	16572	38377
1508	16585	38369
1509	16597	38362
1510	16611	38356
1511	16622	38347
1512	16633	38334
1513	16643	38322
1514	16654	38310
1515	16664	38297
1516	16674	38283
1517	16684	38271
1518	16694	38258
1519	16704	38245
1520	16715	38232
1521	16723	38216
1522	16733	38203
1523	16742	38186
1524	16752	38172
1525	16762	38161
1526	16772	38146
1527	16788	38147
1528	16798	38133
1529	16807	38119
1530	16817	38106
1531	16826	38091
1532	16836	38077
1533	16846	38064
1534	16856	38050
1535	16866	38036
1536	16877	38026
1537	16887	38012
1538	16899	38005
1539	16910	37993
1540	16919	37978
1541	16930	37966
1542	16939	37950
1543	16949	37938
1544	16963	37935
1545	16986	37949
1546	16996	37937
1547	17008	37928
1548	17020	37920
1549	17033	37913
1550	17047	37909
1551	17062	37907
1552	17076	37902
1553	17089	37896
1554	17100	37885
1555	17112	37875
1556	17125	37870
1557	17138	37863
1558	17151	37855
1559	17160	37841
1560	17171	37830
1561	17182	37818
1562	17193	37807
1563	17202	37793
1564	17214	37783
1565	17229	37782
1566	17240	37769
1567	17249	37754
1568	17258	37739
1569	17267	37725
1570	17277	37711
1571	17288	37700
1572	17305	37702
1573	17317	37692
1574	17325	37676
1575	17335	37662
1576	17344	37646
1577	17355	37636
1578	17364	37621
1579	17373	37605
1580	17381	37589
1581	17390	37572
1582	17399	37556
1583	17407	37539
1584	17415	37522
1585	17423	37505
1586	17431	37489
1587	17440	37472
1588	17448	37456
1589	17457	37439
1590	17466	37424
1591	17474	37408
1592	17484	37394
1593	17492	37377
1594	17501	37362
1595	17509	37345
1596	17518	37329
1597	17526	37312
1598	17535	37296
1599	17543	37280
1600	17552	37263
1601	17561	37250
1602	17571	37236
1603	17580	37221
1604	17588	37203
1605	17596	37187
1606	17604	37169
1607	17613	37154
1608	17621	37137
1609	17630	37121
1610	17637	37103
1611	17646	37087
1612	17654	37070
1613	17662	37054
1614	17670	37036
1615	17679	37022
1616	17687	37005
1617	17696	36989
1618	17704	36971
1619	17712	36956
1620	17727	36952
1621	17741	36948
1622	17749	36930
1623	17757	36914
1624	17764	36896
1625	17773	36880
1626	17782	36864
1627	17791	36850
1628	17798	36832
1629	17807	36817
1630	17815	36798
1631	17823	36783
1632	17832	36767
1633	17841	36753
1634	17849	36736
1635	17859	36722
1636	17867	36706
1637	17876	36691
1638	17885	36676
1639	17895	36664
1640	17905	36650
1641	17913	36633
1642	17922	36618
1643	17930	36601
